tweet_id,text
1,Impressive! 👏
2,So happy with this purchase!
3,Not what I expected at all.
4,Not what I expected at all.
5,Neither good nor bad.
6,Terrible service and rude staff.
7,What an amazing experience 😍
8,Would not recommend.
9,A wonderful experience overall.
10,I hate this so much...
11,Not what I expected at all.
12,Pretty standard stuff.
13,It does the job.
14,Worst experience ever.
15,Not much to say about it.
16,Neither good nor bad.
17,Would not recommend.
18,The best I've ever used!
19,Mediocre at best.
20,Mediocre at best.
21,Highly recommend it to everyone!
22,Totally worth it!
23,Not much to say about it.
24,Mediocre at best.
25,I hate this so much...
26,It does the job.
27,Would not recommend.
28,"So bad, avoid at all costs."
29,Highly recommend it to everyone!
30,A wonderful experience overall.
31,Not what I expected at all.
32,"It was okay, I guess."
33,The best I've ever used!
34,"So bad, avoid at all costs."
35,Neither good nor bad.
36,Totally worth it!
37,Average experience.
38,Worst experience ever.
39,What an amazing experience 😍
40,Nothing special.
41,Not much to say about it.
42,Average experience.
43,"It was okay, I guess."
44,"It was okay, I guess."
45,Highly recommend it to everyone!
46,It does the job.
47,Absolutely love this!
48,"So bad, avoid at all costs."
49,The best I've ever used!
50,Highly recommend it to everyone!
51,"It was okay, I guess."
52,Really disappointed.
53,I hate this so much...
54,Nothing special.
55,The best I've ever used!
56,Neither good nor bad.
57,Total waste of money.
58,Just fine.
59,Just fine.
60,It does the job.
61,Absolutely love this!
62,I regret trying this.
63,So happy with this purchase!
64,Totally worth it!
65,"So bad, avoid at all costs."
66,So happy with this purchase!
67,Neither good nor bad.
68,Mediocre at best.
69,Extremely frustrating.
70,Worst experience ever.
71,Would not recommend.
72,Totally worth it!
73,Impressive! 👏
74,Average experience.
75,It does the job.
76,Not what I expected at all.
77,Would not recommend.
78,Not what I expected at all.
79,Really disappointed.
80,What an amazing experience 😍
81,What an amazing experience 😍
82,Mediocre at best.
83,Loved every second of it.
84,Extremely frustrating.
85,"It worked, nothing more."
86,Impressive! 👏
87,Total waste of money.
88,Absolutely love this!
89,Not what I expected at all.
90,"It was okay, I guess."
91,Just fine.
92,A wonderful experience overall.
93,Really disappointed.
94,Loved every second of it.
95,Not much to say about it.
96,It does the job.
97,Totally worth it!
98,"It worked, nothing more."
99,Not what I expected at all.
100,Mediocre at best.
101,"It worked, nothing more."
102,Highly recommend it to everyone!
103,I regret trying this.
104,Nothing special.
105,The best I've ever used!
106,Impressive! 👏
107,Neither good nor bad.
108,Total waste of money.
109,So happy with this purchase!
110,Really disappointed.
111,Just fine.
112,Impressive! 👏
113,So happy with this purchase!
114,The best I've ever used!
115,Terrible service and rude staff.
116,Mediocre at best.
117,What an amazing experience 😍
118,Terrible service and rude staff.
119,Worst experience ever.
120,Impressive! 👏
121,"It was okay, I guess."
122,Impressive! 👏
123,Impressive! 👏
124,Really disappointed.
125,"So bad, avoid at all costs."
126,Absolutely love this!
127,"So bad, avoid at all costs."
128,Total waste of money.
129,"It was okay, I guess."
130,I hate this so much...
131,Loved every second of it.
132,I regret trying this.
133,What an amazing experience 😍
134,Would not recommend.
135,It does the job.
136,"So bad, avoid at all costs."
137,"So bad, avoid at all costs."
138,Impressive! 👏
139,Neither good nor bad.
140,Average experience.
141,"So bad, avoid at all costs."
142,It does the job.
143,Absolutely love this!
144,Pretty standard stuff.
145,Nothing special.
146,Worst experience ever.
147,Neither good nor bad.
148,Total waste of money.
149,"So bad, avoid at all costs."
150,Worst experience ever.
151,Loved every second of it.
152,Loved every second of it.
153,"It worked, nothing more."
154,Not much to say about it.
155,What an amazing experience 😍
156,A wonderful experience overall.
157,Impressive! 👏
158,Neither good nor bad.
159,Loved every second of it.
160,"It worked, nothing more."
161,Would not recommend.
162,What an amazing experience 😍
163,A wonderful experience overall.
164,What an amazing experience 😍
165,Worst experience ever.
166,Nothing special.
167,Would not recommend.
168,The best I've ever used!
169,Nothing special.
170,Would not recommend.
171,What an amazing experience 😍
172,Absolutely love this!
173,Pretty standard stuff.
174,I regret trying this.
175,Terrible service and rude staff.
176,Would not recommend.
177,"It worked, nothing more."
178,Not what I expected at all.
179,Nothing special.
180,What an amazing experience 😍
181,Really disappointed.
182,Fantastic quality and service.
183,Highly recommend it to everyone!
184,Mediocre at best.
185,Not what I expected at all.
186,Fantastic quality and service.
187,Just fine.
188,Fantastic quality and service.
189,Would not recommend.
190,Worst experience ever.
191,Total waste of money.
192,Loved every second of it.
193,The best I've ever used!
194,Really disappointed.
195,Mediocre at best.
196,Terrible service and rude staff.
197,Neither good nor bad.
198,The best I've ever used!
199,I regret trying this.
200,Would not recommend.
201,Impressive! 👏
202,Absolutely love this!
203,Total waste of money.
204,It does the job.
205,Extremely frustrating.
206,Worst experience ever.
207,Just fine.
208,Extremely frustrating.
209,I hate this so much...
210,Nothing special.
211,Nothing special.
212,Just fine.
213,Average experience.
214,Absolutely love this!
215,"It worked, nothing more."
216,Totally worth it!
217,Not what I expected at all.
218,Loved every second of it.
219,"It was okay, I guess."
220,A wonderful experience overall.
221,Loved every second of it.
222,Absolutely love this!
223,I hate this so much...
224,A wonderful experience overall.
225,Highly recommend it to everyone!
226,Loved every second of it.
227,Loved every second of it.
228,Average experience.
229,Totally worth it!
230,Average experience.
231,Really disappointed.
232,"It was okay, I guess."
233,Highly recommend it to everyone!
234,Terrible service and rude staff.
235,Terrible service and rude staff.
236,Extremely frustrating.
237,Pretty standard stuff.
238,Mediocre at best.
239,Totally worth it!
240,Not what I expected at all.
241,Really disappointed.
242,Nothing special.
243,Average experience.
244,Really disappointed.
245,Pretty standard stuff.
246,Nothing special.
247,Nothing special.
248,Worst experience ever.
249,Impressive! 👏
250,Pretty standard stuff.
251,"So bad, avoid at all costs."
252,Just fine.
253,Terrible service and rude staff.
254,Nothing special.
255,Would not recommend.
256,Impressive! 👏
257,Worst experience ever.
258,Not what I expected at all.
259,Terrible service and rude staff.
260,Total waste of money.
261,Nothing special.
262,Totally worth it!
263,Pretty standard stuff.
264,Would not recommend.
265,The best I've ever used!
266,Mediocre at best.
267,Just fine.
268,The best I've ever used!
269,Average experience.
270,Totally worth it!
271,Neither good nor bad.
272,Highly recommend it to everyone!
273,Impressive! 👏
274,"It worked, nothing more."
275,I hate this so much...
276,The best I've ever used!
277,Highly recommend it to everyone!
278,So happy with this purchase!
279,The best I've ever used!
280,Fantastic quality and service.
281,Impressive! 👏
282,Mediocre at best.
283,Terrible service and rude staff.
284,Just fine.
285,Terrible service and rude staff.
286,A wonderful experience overall.
287,So happy with this purchase!
288,I regret trying this.
289,Neither good nor bad.
290,Worst experience ever.
291,A wonderful experience overall.
292,Terrible service and rude staff.
293,Neither good nor bad.
294,Extremely frustrating.
295,Pretty standard stuff.
296,Just fine.
297,"So bad, avoid at all costs."
298,Average experience.
299,I hate this so much...
300,Nothing special.
301,Extremely frustrating.
302,Terrible service and rude staff.
303,Nothing special.
304,Not much to say about it.
305,Total waste of money.
306,I hate this so much...
307,Fantastic quality and service.
308,The best I've ever used!
309,Highly recommend it to everyone!
310,Totally worth it!
311,Not what I expected at all.
312,Highly recommend it to everyone!
313,Would not recommend.
314,Extremely frustrating.
315,Mediocre at best.
316,So happy with this purchase!
317,Really disappointed.
318,What an amazing experience 😍
319,Not much to say about it.
320,I regret trying this.
321,Average experience.
322,Impressive! 👏
323,Really disappointed.
324,Impressive! 👏
325,Just fine.
326,Extremely frustrating.
327,Would not recommend.
328,It does the job.
329,Would not recommend.
330,Would not recommend.
331,What an amazing experience 😍
332,Totally worth it!
333,I regret trying this.
334,"It was okay, I guess."
335,Mediocre at best.
336,Just fine.
337,Average experience.
338,Not what I expected at all.
339,What an amazing experience 😍
340,I regret trying this.
341,Average experience.
342,Total waste of money.
343,Absolutely love this!
344,Total waste of money.
345,Neither good nor bad.
346,Pretty standard stuff.
347,Impressive! 👏
348,Pretty standard stuff.
349,Mediocre at best.
350,A wonderful experience overall.
351,Totally worth it!
352,I hate this so much...
353,A wonderful experience overall.
354,Pretty standard stuff.
355,Not much to say about it.
356,"So bad, avoid at all costs."
357,Fantastic quality and service.
358,Not what I expected at all.
359,Neither good nor bad.
360,Impressive! 👏
361,"So bad, avoid at all costs."
362,Pretty standard stuff.
363,Fantastic quality and service.
364,"So bad, avoid at all costs."
365,Really disappointed.
366,Average experience.
367,Worst experience ever.
368,Fantastic quality and service.
369,Terrible service and rude staff.
370,A wonderful experience overall.
371,Worst experience ever.
372,Extremely frustrating.
373,What an amazing experience 😍
374,So happy with this purchase!
375,Nothing special.
376,Extremely frustrating.
377,Loved every second of it.
378,It does the job.
379,It does the job.
380,Mediocre at best.
381,"It was okay, I guess."
382,I regret trying this.
383,Average experience.
384,Mediocre at best.
385,Just fine.
386,Really disappointed.
387,Mediocre at best.
388,"It worked, nothing more."
389,I hate this so much...
390,It does the job.
391,Impressive! 👏
392,"So bad, avoid at all costs."
393,"It was okay, I guess."
394,Would not recommend.
